--------------------------------------------------------------------------------
Akash Kank Process Logger : Mon Nov 20 00:26:55 2023
--------------------------------------------------------------------------------
{'name': 'svchost.exe', 'username': None, 'pid': 4912, 'vms': 2.83203125}
{'name': 'HPCommRecovery.exe', 'username': None, 'pid': 4920, 'vms': 13.7421875}
{'name': 'sqlwriter.exe', 'username': None, 'pid': 4928, 'vms': 1.79296875}
{'name': 'mfemms.exe', 'username': None, 'pid': 4956, 'vms': 5.13671875}
{'name': 'ModuleCoreService.exe', 'username': None, 'pid': 4988, 'vms': 6.6171875}
{'name': 'sqlservr.exe', 'username': None, 'pid': 5012, 'vms': 132.609375}
{'name': 'svchost.exe', 'username': None, 'pid': 5020, 'vms': 15.62109375}
{'name': 'svchost.exe', 'username': None, 'pid': 5044, 'vms': 2.15625}
{'name': 'mysqld.exe', 'username': None, 'pid': 5060, 'vms': 32.56640625}
{'name': 'PEFService.exe', 'username': None, 'pid': 5088, 'vms': 17.92578125}
{'name': 'svchost.exe', 'username': None, 'pid': 5096, 'vms': 1.5859375}
{'name': 'RtkAudUService64.exe', 'username': None, 'pid': 5112, 'vms': 5.5078125}
{'name': 'cncmd.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 5208, 'vms': 1.5546875}
{'name': 'svchost.exe', 'username': None, 'pid': 5260, 'vms': 1.2421875}
{'name': 'WildTangentHelperService.exe', 'username': None, 'pid': 5272, 'vms': 6.12109375}
{'name': 'MsMpEng.exe', 'username': None, 'pid': 5284, 'vms': 281.5546875}
{'name': 'expressvpnd.exe', 'username': None, 'pid': 5308, 'vms': 13.96484375}
{'name': 'svchost.exe', 'username': None, 'pid': 5336, 'vms': 4.4765625}
{'name': 'CptService.exe', 'username': None, 'pid': 5352, 'vms': 1.765625}
{'name': 'conhost.exe', 'username': None, 'pid': 5452, 'vms': 5.56640625}
{'name': 'git-bash.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 5760, 'vms': 1.375}
{'name': 'mysqld.exe', 'username': None, 'pid': 5860, 'vms': 567.5}
{'name': 'conhost.exe', 'username': None, 'pid': 5884, 'vms': 5.4921875}
{'name': 'msedgewebview2.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 5924, 'vms': 2.0078125}
{'name': 'svchost.exe', 'username': None, 'pid': 5948, 'vms': 3.3046875}
{'name': 'mfevtps.exe', 'username': None, 'pid': 6164, 'vms': 5.98828125}
{'name': 'svchost.exe', 'username': None, 'pid': 6196, 'vms': 2.2265625}
{'name': 'ModuleCoreService.exe', 'username': None, 'pid': 6200, 'vms': 32.6640625}
{'name': 'svchost.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 6244, 'vms': 5.0546875}
{'name': 'ProtectedModuleHost.exe', 'username': None, 'pid': 6276, 'vms': 4.4453125}
{'name': 'taskhostw.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 6656, 'vms': 3.01953125}
{'name': 'AggregatorHost.exe', 'username': None, 'pid': 6812, 'vms': 2.31640625}
{'name': 'conhost.exe', 'username': None, 'pid': 7000, 'vms': 5.0859375}
{'name': 'svchost.exe', 'username': None, 'pid': 7472, 'vms': 1.60546875}
{'name': 'svchost.exe', 'username': None, 'pid': 7652, 'vms': 3.703125}
{'name': 'McCSPServiceHost.exe', 'username': None, 'pid': 7940, 'vms': 8.046875}
{'name': 'XboxGameBarSpotify.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 8028, 'vms': 17.6484375}
{'name': 'svchost.exe', 'username': None, 'pid': 8032, 'vms': 1.59765625}
{'name': 'svchost.exe', 'username': None, 'pid': 8440, 'vms': 2.41015625}
{'name': 'NisSrv.exe', 'username': None, 'pid': 8548, 'vms': 3.66796875}
{'name': 'servicehost.exe', 'username': None, 'pid': 8632, 'vms': 27.25}
{'name': 'SecurityHealthSystray.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 9016, 'vms': 1.73046875}
{'name': 'svchost.exe', 'username': None, 'pid': 9120, 'vms': 5.4609375}
{'name': 'chrome.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 9128, 'vms': 21.453125}
{'name': 'svchost.exe', 'username': None, 'pid': 9172, 'vms': 3.765625}
{'name': 'msteams.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 9204, 'vms': 13.30078125}
{'name': 'svchost.exe', 'username': None, 'pid': 9304, 'vms': 3.33984375}
{'name': 'ExpressVPNNotificationService.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 9320, 'vms': 24.4765625}
{'name': 'ctfmon.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 9540, 'vms': 59.828125}
{'name': 'RtkAudUService64.exe', 'username': None, 'pid': 9708, 'vms': 4.61328125}
{'name': 'svchost.exe', 'username': None, 'pid': 9924, 'vms': 2.34765625}
{'name': 'HPAudioSwitch.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 10252, 'vms': 32.21484375}
{'name': 'Video.UI.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 10256, 'vms': 18.3671875}
{'name': 'Code.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 10284, 'vms': 183.078125}
{'name': 'chrome.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 10524, 'vms': 149.125}
{'name': 'RtkAudUService64.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 10624, 'vms': 4.8828125}
{'name': 'svchost.exe', 'username': None, 'pid': 10912, 'vms': 3.328125}
{'name': 'ETDCtrl.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 11080, 'vms': 7.125}
{'name': 'svchost.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 11108, 'vms': 2.3046875}
{'name': 'chrome.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 11132, 'vms': 105.23828125}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 11188, 'vms': 4.60546875}
{'name': 'dwm.exe', 'username': None, 'pid': 11200, 'vms': 153.51171875}
{'name': 'UserOOBEBroker.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 11240, 'vms': 1.77734375}
{'name': 'OpenConsole.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 11300, 'vms': 2.1640625}
{'name': 'conhost.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 11372, 'vms': 5.18359375}
{'name': 'dllhost.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 11384, 'vms': 8.015625}
{'name': 'WindowsTerminal.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 11516, 'vms': 55.13671875}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 11532, 'vms': 5.15625}
{'name': 'StartMenuExperienceHost.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 11552, 'vms': 64.45703125}
{'name': 'sihost.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 11688, 'vms': 6.921875}
{'name': 'HPSystemEventUtilityHost.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 11716, 'vms': 777.8046875}
{'name': 'powershell.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 11748, 'vms': 54.1484375}
{'name': 'Widgets.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 11844, 'vms': 13.66796875}
{'name': 'chrome.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 11876, 'vms': 119.05078125}
{'name': 'AMDRSServ.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 11996, 'vms': 5.51171875}
{'name': 'svchost.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 12048, 'vms': 1.88671875}
{'name': 'svchost.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 12052, 'vms': 8.05859375}
{'name': 'McPvTray.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 12148, 'vms': 4.32421875}
{'name': 'LocationNotificationWindows.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 12176, 'vms': 1.578125}
{'name': 'chrome.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 12276, 'vms': 6.421875}
{'name': 'msedgewebview2.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 12296, 'vms': 35.75}
{'name': 'Code.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 12416, 'vms': 23.4765625}
{'name': 'svchost.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 12500, 'vms': 1.91015625}
{'name': 'msedgewebview2.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 12540, 'vms': 64.55859375}
{'name': 'explorer.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 12628, 'vms': 549.890625}
